name,equipment,movement_pattern,primary_muscles,secondary_muscles,how_to
Banded Pallof Press,Band,Anti-Rotation,Obliques,Transverse Abdominis,Press band away from body and resist rotation; keep hips/pelvis square.
Banded Triceps Pushdown,Band,Elbow Extension,Triceps,Forearms,Elbows pinned; extend band to full lockout; slow return.
Banded Curl,Band,Elbow Flexion,Biceps,Forearms,Stand on band; curl with elbows fixed; squeeze at top.
Band Face Pull,Band,External Rotation,"Rear Delts, Lower Traps",Rotator Cuff,Band anchored high; pull toward nose while rotating thumbs back.
Banded Good Morning,Band,Hinge,"Hamstrings, Glutes",Spinal Erectors,"Band under feet and behind neck; hinge back, then stand tall."
Monster Walk / Lateral Walk,Band,Hip Abduction,Glute Med/Min,Glute Max,Loop band above ankles/knees; small steps out/forward maintaining tension.
Banded Row,Band,Horizontal Pull,Mid-Back,"Lats, Rear Delts",Seated or standing; pull handles toward torso; control return.
Banded Push-Up,Band,Horizontal Push,"Chest, Triceps",Front Delts,Band across upper back and hands; perform push-ups with extra resistance.
Band Pull-Apart,Band,Scapular Retraction,"Rear Delts, Mid-Back",Rotator Cuff,Arms straight at chest height; pull band apart by squeezing shoulder blades together.
Banded Squat,Band,Squat,"Quads, Glutes",Hamstrings,Band for accommodating resistance; squat keeping knees tracking out.
Assisted Pull-Up (Band),Band,Vertical Pull,Lats,Biceps,Loop band over bar and foot/knee; pull chest to bar; use minimal assistance.
Glute Bridge (Barbell),Barbell,Bridge/Thrust,Glutes,"Hamstrings, Core","Shoulders on floor; bar at hips; drive hips up; keep ribs down, eyes forward."
Hip Thrust,Barbell,Bridge/Thrust,Glutes,"Hamstrings, Quads","Upper back on bench, bar over hips; drive hips to full extension with posterior pelvic tilt; pause and lower."
JM Press,Barbell,Elbow Extension,Triceps,"Chest, Shoulders",Lower bar toward upper chest with elbow bend; press by extending elbows—hybrid of CGBP and skullcrusher.
Skullcrusher (Lying Triceps Extension),Barbell,Elbow Extension,Triceps,Forearms,Elbows tucked; lower bar behind forehead; extend by hinging at elbows only.
Barbell Curl,Barbell,Elbow Flexion,Biceps,"Forearms, Brachialis",Elbows fixed at sides; curl bar under control; avoid torso sway.
Reverse Curl,Barbell,Elbow Flexion,Brachioradialis,"Biceps, Forearms",Overhand grip; curl to shoulder height; control the descent.
Conventional Deadlift,Barbell,Hinge,"Hamstrings, Glutes","Spinal Erectors, Lats, Traps",Feet under hips; grip just outside legs; brace; push floor away then extend hips; bar travels close to shins.
Good Morning,Barbell,Hinge,"Hamstrings, Glutes","Spinal Erectors, Core",Soft knees; hinge hips back with neutral spine until hamstrings loaded; extend hips to stand.
Good Morning (Safety Bar),Barbell,Hinge,"Hamstrings, Glutes",Spinal Erectors,"With SSB, hinge back keeping shins vertical; extend hips to stand."
Rack Pull (Below Knee),Barbell,Hinge,"Spinal Erectors, Glutes","Hamstrings, Traps",Bar on pins below knee; hinge and pull to lockout; focus on back strength and lockout mechanics.
Romanian Deadlift (RDL),Barbell,Hinge,Hamstrings,"Glutes, Spinal Erectors","From standing, hinge back keeping bar close to thighs; stop mid-shin; stand by driving hips forward."
Snatch-Grip Deadlift,Barbell,Hinge,"Hamstrings, Glutes","Upper Back, Traps",Wide snatch grip; keep lats tight; pull with bar close to body to emphasize posterior chain.
Sumo Deadlift,Barbell,Hinge,"Glutes, Adductors","Hamstrings, Spinal Erectors",Wide stance; hands inside knees; keep shins vertical; push knees out and drive hips through.
Bent-Over Row,Barbell,Horizontal Pull,"Lats, Mid-Back","Rear Delts, Biceps",Hinge to ~45°; pull bar to lower ribs; keep spine neutral and elbows close.
Pendlay Row,Barbell,Horizontal Pull,Mid-Back,"Lats, Rear Delts, Biceps",From floor each rep; torso parallel; explosive pull to sternum then reset.
Yates Row (Underhand),Barbell,Horizontal Pull,"Lats, Biceps","Rear Delts, Mid-Back",Slight torso lean; underhand grip; pull to lower abdomen; control eccentric.
Bench Press (Flat),Barbell,Horizontal Push,Chest,"Triceps, Front Delts",Eyes under bar; shoulder blades retracted; touch mid-chest; press bar back/up in slight arc.
Bench Press (Incline),Barbell,Horizontal Push,Upper Chest,"Front Delts, Triceps",Bench 30–45°; touch upper chest softly; drive bar up while keeping shoulders packed.
Close-Grip Bench Press,Barbell,Horizontal Push,Triceps,"Chest, Front Delts",Grip just inside shoulder width; elbows tuck ~45°; touch lower sternum; press to lockout.
Spoto Press,Barbell,Horizontal Push,Chest,Triceps,Pause 1–2 cm above chest; maintain tension; press without bouncing.
